song_name,artist_name,album_name,thumbnail,link,queryname
Are You Ready,Disturbed,Evolution,https://i.scdn.co/image/ab67616d0000b27356351a5b4d78e94390514484,https://www.youtube.com/watch?v=55NJzOSuKuY,Are You Ready by Disturbed
Stupify,Disturbed,The Sickness,https://i.scdn.co/image/ab67616d0000b2732b222dcd5c4fcac7c0e81da2,https://www.youtube.com/watch?v=GVcY--XzeIc,Stupify by Disturbed
This Moment,Disturbed,The Lost Children,https://i.scdn.co/image/ab67616d0000b2735d6757faf5a3cdbbfd34107a,https://www.youtube.com/watch?v=PFVgiu0YhOE,This Moment by Disturbed
Decadence,Disturbed,Ten Thousand Fists,https://i.scdn.co/image/ab67616d0000b273bbdafec608fc5329ec2ad831,https://www.youtube.com/watch?v=-daTpfB-7K4,Decadence by Disturbed
Prayer,Disturbed,Believe,https://i.scdn.co/image/ab67616d0000b2739ad624c49239d6868b5f3aad,https://www.youtube.com/watch?v=DWSlOCEzRGo,Prayer by Disturbed
Divisive,Disturbed,Divisive,https://i.scdn.co/image/ab67616d0000b27384979e281b0b2739d478f53c,https://www.youtube.com/watch?v=ckcZhbmhgmM,Divisive by Disturbed
Unstoppable,Disturbed,Unstoppable,https://i.scdn.co/image/ab67616d0000b273854d0c13c0f3e0df0e0f2151,https://www.youtube.com/watch?v=XiXb-6j4R98,Unstoppable by Disturbed
Inside the Fire,Disturbed,Indestructible (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b2731aeed60b435be44dd68a57a3,https://www.youtube.com/watch?v=gkhwK6Wlod8,Inside the Fire by Disturbed
The Vengeful One,Disturbed,Immortalized,https://i.scdn.co/image/ab67616d0000b273d16fafa6fe32995b9a43533a,https://www.youtube.com/watch?v=8nW-IPrzM1g,The Vengeful One by Disturbed
Indestructible,Disturbed,Indestructible (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b2731aeed60b435be44dd68a57a3,https://www.youtube.com/watch?v=aWxBrI0g1kE,Indestructible by Disturbed
Down with the Sickness,Disturbed,The Sickness (20th Anniversary Edition),https://i.scdn.co/image/ab67616d0000b273f29e58d4b65aefd49a3be481,https://www.youtube.com/watch?v=09LTT0xwdfw,Down with the Sickness by Disturbed
Stricken,Disturbed,Ten Thousand Fists,https://i.scdn.co/image/ab67616d0000b273bbdafec608fc5329ec2ad831,https://www.youtube.com/watch?v=I77mjesUbkw,Stricken by Disturbed
Hey You,Disturbed,Divisive,https://i.scdn.co/image/ab67616d0000b27384979e281b0b2739d478f53c,https://www.youtube.com/watch?v=YCGIj7KmwyI,Hey You by Disturbed
emo girl (feat. WILLOW),Machine Gun Kelly,mainstream sellout,https://i.scdn.co/image/ab67616d0000b273b4683d9ac3c5f14a71523c84,https://www.youtube.com/watch?v=yh_ydvIJAxg,emo girl (feat. WILLOW) by Machine Gun Kelly
RECOVER,Point North,RECOVER,https://i.scdn.co/image/ab67616d0000b2730147bf8c247feb37c783917f,https://www.youtube.com/watch?v=6SUU1kBHA3o,RECOVER by Point North
"deathwish (feat. nothing,nowhere.)",Stand Atlantic,f.e.a.r.,https://i.scdn.co/image/ab67616d0000b273a7e350a4babfd4d315d2891d,https://www.youtube.com/watch?v=ZB5yS1i72pk,"deathwish (feat. nothing,nowhere.) by Stand Atlantic"
HandClap,Fitz and The Tantrums,Fitz and The Tantrums,https://i.scdn.co/image/ab67616d0000b27358c4833cc8b1a3d6e4890940,https://www.youtube.com/watch?v=Y2V6yjjPbX0,HandClap by Fitz and The Tantrums
sTraNgeRs,Bring Me The Horizon,sTraNgeRs,https://i.scdn.co/image/ab67616d0000b27325580fd82993317d2ac089d9,https://www.youtube.com/watch?v=FsNGxsrcZas,sTraNgeRs by Bring Me The Horizon
Main Attraction,Jeremy Renner,The Medicine,https://i.scdn.co/image/ab67616d0000b2732394360582d3a2f361b8b90a,https://www.youtube.com/watch?v=jL2DcWB994s,Main Attraction by Jeremy Renner
Everyone's a Secret,Lø Spirit,Everyone's a Secret,https://i.scdn.co/image/ab67616d0000b2738cdc2960aa6c74dee87913c4,https://www.youtube.com/watch?v=jY5C33ztgck,Everyone's a Secret by Lø Spirit
gfy (with Machine Gun Kelly),blackbear,in loving memory,https://i.scdn.co/image/ab67616d0000b273fda5851154fa029164a281e1,https://www.youtube.com/watch?v=XDnw808NKXY,gfy (with Machine Gun Kelly) by blackbear
29,Demi Lovato,29,https://i.scdn.co/image/ab67616d0000b273d7986ea681466b64ec2de8dd,https://www.youtube.com/watch?v=nmpBEoiuUBw,29 by Demi Lovato
A$$A$$IN,Beauty School Dropout,We Made Plans & God Laughed,https://i.scdn.co/image/ab67616d0000b2739e37d0600571b9ac572ff496,https://www.youtube.com/watch?v=BTTQZtXZBK0,A$$A$$IN by Beauty School Dropout
Call Me a Saint,YONAKA,Seize the Power,https://i.scdn.co/image/ab67616d0000b27338debe8dc40c62d7c593bed2,https://www.youtube.com/watch?v=c_EnYLqt1Wk,Call Me a Saint by YONAKA
Stronger,The Score,Carry On,https://i.scdn.co/image/ab67616d0000b27326f401c31ac9944252d66fab,https://www.youtube.com/watch?v=cNld-AHw-Wg,Stronger by The Score
